Comment,Designator,Footprint,LCSC
W25Q128JVSIQ,"U3,rU3",SOIC-8_5.23x5.23mm_P1.27mm,C113767
1k,"R4,R7,rR4,rR7",R_0402_1005Metric,C11702
TPD4E05U06DQAR,"U2,rU2",USON-10_2.5x1.0mm_P0.5mm,C138714
NCP1117LPST33T3G,"U1,rU1",SOT-223-3_TabPin2,C146799
100n,"C10,C11,C12,C4,C5,C6,C7,C8,C9,rC10,rC11,rC12,rC4,rC5,rC6,rC7,rC8,rC9",C_0402_1005Metric,C1525
10u,"C1,C2,rC1,rC2",C_0402_1005Metric,C15525
27p,"C15,C16,rC15,rC16",C_0402_1005Metric,C1557
RP2040,"U4,rU4",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1N4148WT,"D1,rD1",D_SOD-523,C232841
10k,"R3,rR3",R_0402_1005Metric,C25744
5.1k,"R1,R2,rR1,rR2",R_0402_1005Metric,C25905
ST-0277D00-052-142,"J1,rJ1",ST-0277D00-052-142,C2837093
BSMD0603-050-12V,"F1,rF1",Fuse_0603_1608Metric,C2844464
TYPE-C-31-M-13C,"J3,rJ3",TYPE-C-31-M-13C,C2848620
ESD5Z5V0C,"ZD1,rZD1",D_SOD-523,C2901325
27,"R5,R6,rR5,rR6",R_0402_1005Metric,C2909343
TS-1088R-02026,"SMDSW1,SMDSW2,rSMDSW1,rSMDSW2",TS-1088R-02026,C455280
YS-SK6812MINI-E,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED3,LED4,LED5,LED6,LED7,LED8,LED9,rLED1,rLED10,rLED11,rLED12,rLED13,rLED14,rLED15,rLED16,rLED17,rLED18,rLED19,rLED2,rLED20,rLED21,rLED22,rLED23,rLED24,rLED3,rLED4,rLED5,rLED6,rLED7,rLED8,rLED9",YS-SK6812MINI-E,C5149201
1u,"C13,C14,C3,rC13,rC14,rC3",C_0402_1005Metric,C52923
SW_Push,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW3,SW4,SW5,SW6,SW7,SW8,SW9,rSW1,rSW10,rSW11,rSW12,rSW13,rSW14,rSW15,rSW16,rSW17,rSW18,rSW19,rSW2,rSW20,rSW21,rSW22,rSW23,rSW24,rSW3,rSW4,rSW5,rSW6,rSW7,rSW8,rSW9",keyswitch_choc12_hotswap_1u,C5333465
12MHz 18pF,"Y1,rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
